[['3-224-224-3-16-2-0'], [[['directconv'], ['5006.0']], [['conv'], ['6748.0']]]]
[['3-224-224-3-24-2-0'], [[['directconv'], ['7065.0']], [['conv'], ['9004.0']]]]
[['3-224-224-3-32-2-0'], [[['directconv'], ['9727.0']], [['conv'], ['10470.0']]]]
[['3-224-224-3-8-2-0'], [[['directconv'], ['2855.0']], [['conv'], ['5569.0']]]]
[['3-224-224-7-64-2-3'], [[['conv'], ['58157.0']]]]
[['3-227-227-11-96-4-0'], [[['conv'], ['40024.0']]]]
[['3-227-227-7-64-2-3'], [[['conv'], ['59670.0']]]]
[['3-299-299-3-32-2-0'], [[['directconv'], ['17009.0']], [['conv'], ['18194.0']]]]
[['3-500-500-3-64-1-1'], [[['conv'], ['270403.0']], [['directconv'], ['347932.0']]]]
[['32-112-112-1-64-1-0'], [[['conv'], ['23443.0']], [['directconv'], ['29516.0']]]]
[['32-147-147-3-64-1-1'], [[['conv'], ['123341.0']], [['directconv'], ['312796.0']]]]
[['32-149-149-3-32-1-0'], [[['conv'], ['93843.0']], [['directconv'], ['155214.0']]]]
[['32-16-16-1-64-1-0'], [[['directconv'], ['1175.0']], [['conv'], ['2586.0']]]]
[['32-20-20-1-64-1-0'], [[['directconv'], ['1748.0']], [['conv'], ['2910.0']]]]
[['32-24-24-1-64-1-0'], [[['directconv'], ['1960.0']], [['conv'], ['3246.0']]]]
[['32-28-28-1-64-1-0'], [[['directconv'], ['2634.0']], [['conv'], ['3560.0']]]]
[['32-32-32-1-32-1-0'], [[['directconv'], ['1683.0']], [['conv'], ['3277.0']]]]
[['32-32-32-1-64-1-0'], [[['directconv'], ['2794.0']], [['conv'], ['3911.9999999999995']]]]
[['32-40-40-1-32-1-0'], [[['directconv'], ['2441.0']], [['conv'], ['3735.0']]]]
[['32-40-40-1-64-1-0'], [[['directconv'], ['4022.0000000000005']], [['conv'], ['4896.0']]]]
[['32-48-48-1-32-1-0'], [[['directconv'], ['3292.0']], [['conv'], ['4245.0']]]]
[['32-48-48-1-64-1-0'], [[['directconv'], ['5682.0']], [['conv'], ['5989.0']]]]
[['32-56-56-1-32-1-0'], [[['directconv'], ['3963.0000000000005']], [['conv'], ['5119.0']]]]
[['32-56-56-1-64-1-0'], [[['conv'], ['7244.0']], [['directconv'], ['7314.0']]]]
[['32-64-64-1-64-1-0'], [[['conv'], ['8877.0']], [['directconv'], ['9447.0']]]]
[['32-80-80-1-64-1-0'], [[['conv'], ['12762.0']], [['directconv'], ['15617.0']]]]
[['32-96-96-1-64-1-0'], [[['conv'], ['17392.0']], [['directconv'], ['21148.0']]]]
[['384-10-10-1-384-1-0'], [[['conv'], ['8986.0']], [['directconv'], ['20819.0']]]]
[['384-12-12-1-384-1-0'], [[['conv'], ['11967.0']], [['directconv'], ['26912.0']]]]
[['384-13-13-3-256-1-1'], [[['conv'], ['72822.0']], [['directconv'], ['132932.0']]]]
[['384-13-13-3-384-1-1'], [[['conv'], ['107020.0']], [['directconv'], ['181102.0']]]]
[['384-14-14-1-384-1-0'], [[['conv'], ['15549.0']], [['directconv'], ['30739.0']]]]
[['384-4-4-1-768-1-0'], [[['conv'], ['6981.0']], [['directconv'], ['8728.0']]]]
[['384-5-5-1-768-1-0'], [[['conv'], ['8090.0']], [['directconv'], ['11701.0']]]]
[['384-6-6-1-768-1-0'], [[['conv'], ['10139.0']], [['directconv'], ['13232.0']]]]
[['384-6-6-3-1024-1-1'], [[['conv'], ['120516.0']], [['directconv'], ['121895.0']]]]
[['384-7-7-1-768-1-0'], [[['conv'], ['11138.0']], [['directconv'], ['15472.0']]]]
[['384-8-8-1-384-1-0'], [[['conv'], ['7913.999999999999']], [['directconv'], ['9346.0']]]]
[['448-8-8-3-384-1-1'], [[['directconv'], ['71620.0']], [['conv'], ['74343.0']]]]
[['48-32-32-1-96-1-0'], [[['directconv'], ['5415.0']], [['conv'], ['5776.0']]]]
[['48-35-35-5-64-1-2'], [[['conv'], ['38704.0']], [['directconv'], ['60334.0']]]]
[['48-40-40-1-96-1-0'], [[['conv'], ['7407.0']], [['directconv'], ['8322.0']]]]
[['48-48-48-1-96-1-0'], [[['conv'], ['9848.0']], [['directconv'], ['11610.0']]]]
[['48-56-56-1-96-1-0'], [[['conv'], ['12422.0']], [['directconv'], ['15309.0']]]]
[['512-1-1-1-1001-1-0'], [[['directconv'], ['5792.0']], [['conv'], ['9308.0']]]]
[['512-10-10-1-512-1-0'], [[['conv'], ['13956.0']], [['directconv'], ['36408.0']]]]
[['512-12-12-1-512-1-0'], [[['conv'], ['17332.0']], [['directconv'], ['46682.0']]]]
[['512-14-14-1-512-1-0'], [[['conv'], ['23727.0']], [['directconv'], ['52670.0']]]]
[['512-4-4-1-1024-1-0'], [[['conv'], ['9250.0']], [['directconv'], ['15014.0']]]]
[['512-4-4-1-512-1-0'], [[['conv'], ['5827.0']], [['directconv'], ['7834.000000000001']]]]
[['512-5-5-1-1024-1-0'], [[['conv'], ['11787.0']], [['directconv'], ['19752.0']]]]
[['512-5-5-1-512-1-0'], [[['conv'], ['7181.0']], [['directconv'], ['10055.0']]]]
[['512-6-6-1-1024-1-0'], [[['conv'], ['13311.0']], [['directconv'], ['22089.0']]]]
[['512-6-6-1-512-1-0'], [[['conv'], ['8631.0']], [['directconv'], ['11497.0']]]]
[['512-7-7-1-1024-1-0'], [[['conv'], ['16138.0']], [['directconv'], ['26212.0']]]]
[['512-7-7-1-512-1-0'], [[['conv'], ['9995.0']], [['directconv'], ['13415.0']]]]
[['512-8-8-1-512-1-0'], [[['conv'], ['10126.0']], [['directconv'], ['15615.0']]]]
[['64-10-10-1-128-1-0'], [[['directconv'], ['2045.0']], [['conv'], ['2740.0']]]]
[['64-12-12-1-128-1-0'], [[['directconv'], ['2151.0']], [['conv'], ['3099.0']]]]
[['64-14-14-1-128-1-0'], [[['directconv'], ['2441.0']], [['conv'], ['3339.0']]]]
